FILES,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
system/core/Common.php,1213,44,22,22
system/core/Config.php,281,10,5,5
system/core/Hooks.php,333,35,29,6
system/core/Input.php,62,58,43,15
system/core/Lang.php,177,3,2,1
system/core/Loader.php,171,2,1,1
system/core/Output.php,333,22,11,11
system/core/Router.php,248,28,14,14
system/core/Security.php,177,18,9,9
system/core/URI.php,111,4,2,2
system/database/DB.php,353,24,12,12
system/libraries/Calendar.php,72,2,1,1
system/libraries/Cart.php,637,60,30,30
system/libraries/Email.php,245,20,10,10
system/libraries/Encrypt.php,222,26,13,13
system/libraries/Pagination.php,617,104,52,52
system/libraries/Profiler.php,281,14,7,7
system/libraries/Session.php,94,16,8,8
system/libraries/Upload.php,264,18,9,9
system/libraries/Migration.php,246,22,11,11
system/libraries/Ftp.php,102,2,1,1
system/libraries/Javascript.php,1213,46,23,23
system/libraries/Table.php,233,2,1,1
system/libraries/Trackback.php,341,8,4,4
system/libraries/Typography.php,276,12,6,6
system/libraries/Xmlrpc.php,171,18,9,9
system/libraries/Xmlrpcs.php,333,26,13,13
system/libraries/Zip.php,411,30,15,15
system/libraries/javascript/Jquery.php,291,12,6,6
system/core/Log.php,275,16,8,8