modified_Smelly_Classes,classsize,classtype,BugsAfterSmells,BugsBeforeSmells,Fixingcommits,codechurn,CommitsExhibiting,v2.0.3,v2.1.1,v2.1.2,v2.1.3,v2.1.4,v2.2.0,v2.2.1,v2.2.2,v2.2.4,v2.2.5,v2.2.6,v3.0.0,v3.0.2,v3.0.3,v3.0.4,v3.0.5,v3.1.0,v3.1.1,v3.1.2,v3.1.4,v3.1.5,v3.1.6,v3.1.7,v3.1.8,v3.1.9,v3.1.11
system/core/Common.php,849,Large,15,2,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Config.php,379,Large,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Hooks.php,266,Medium,2,1,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Input.php,895,Large,29,2,2,522,2,0,469,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Lang.php,203,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Loader.php,1415,Large,29,6,3,529,4,187,0,0,0,0,0,0,0,0,0,0,0,0,154,0,188,0,0,0,0,0,0,0,0,0,0
system/core/Output.php,842,Large,7,1,1,117,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Router.php,515,Large,16,1,1,66,1,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Security.php,1090,Large,38,5,3,176,4,0,0,0,0,0,13,0,0,0,0,0,140,0,0,0,0,0,23,0,0,0,0,0,0,0,0
system/core/URI.php,643,Large,6,1,1,348,1,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/database/DB.php,141,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Calendar.php,546,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Cart.php,567,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Email.php,2490,Large,32,1,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0
system/libraries/Encrypt.php,521,Large,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Pagination.php,704,Large,9,1,1,31,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Profiler.php,574,Large,19,3,2,123,2,118,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Session.php,983,Large,10,4,1,527,1,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Upload.php,1326,Large,27,6,2,185,2,0,118,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Migration.php,477,Large,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Ftp.php,667,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Javascript.php,856,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Table.php,538,Large,1,0,8,653,8,0,33,0,0,12,0,0,3,23,0,32,0,63,4,0,0,65,0,0,0,0,0,0,0,0,0
system/libraries/Trackback.php,556,Large,1,0,6,52,6,0,12,3,0,0,43,41,0,0,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Typography.php,424,Large,7,0,5,75,5,0,0,1,0,6,4,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Xmlrpc.php,1920,Large,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Xmlrpcs.php,619,Large,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Zip.php,532,Large,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/javascript/Jquery.php,1076,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/Log.php,296,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/compat/hash.php,254,Medium,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/compat/password.php,251,Medium,0,0,1,87,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/core/compat/standard.php,182,Medium,1,0,5,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,15,0,3,9,0,0,0,0
system/libraries/Driver.php,342,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Encryption.php,941,Large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system/libraries/Session/Session.php,983,Large,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tests/mocks/autoloader.php,119,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tests/mocks/database/db.php,667,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0