files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
libraries/joomla/crypt/crypt.php,89,4,2,2
libraries/joomla/user/helper.php,425,7,7,0
administrator/includes/application.php,424,19,9,10
administrator/includes/toolbar.php,431,18,12,6
includes/application.php,546,1,1,0
includes/router.php,1483,1,1,0
installation/controllers/setup.json.php,411,1,1,0
installation/helpers/html/installation.php,220,1,1,0
installation/models/configuration.php,64,1,1,0
installation/models/database.php,194,1,1,0
installation/models/filesystem.php,58,1,1,0
libraries/cms/schema/changeitemsqlsrv.php,128,1,1,0
libraries/joomla/application/application.php,70,1,1,0
libraries/joomla/application/categories.php,375,8,4,4
/joomla/application/component/controller.php,210,18,9,9
/application/component/controlleradmin.php,210,18,9,9
/application/component/controllerform.php,317,12,6,6
libraries/joomla/application/component/helper.php,198,4,2,2
libraries/joomla/application/component/model.php,535,28,0,28
/joomla/application/component/modeladmin.php,416,133,0,133
/joomla/application/component/modellist.php,243,9,0,9
libraries/joomla/application/component/view.php,226,9,0,9
libraries/joomla/application/helper.php,332,94,3,91
libraries/joomla/application/module/helper.php,235,9,0,9
libraries/joomla/application/web.php,244,10,5,5
libraries/joomla/application/web/webclient.php,93,1,0,1
libraries/joomla/base/object.php,508,2,1,1
libraries/joomla/cache/cache.php,210,2,1,1
libraries/joomla/cache/controller/page.php,243,4,2,2
libraries/joomla/cache/storage/file.php,76,300,150,150
libraries/joomla/database/database.php,81,282,141,141
libraries/joomla/database/database/mysql.php,243,102,71,31
libraries/joomla/database/database/mysqli.php,141,2,1,1
/joomla/database/database/mysqlimporter.php,1117,9,6,3
libraries/joomla/database/database/sqlsrv.php,1461,13,13,0
libraries/joomla/database/query.php,224,164,95,69
libraries/joomla/database/table.php,316,2,1,1
libraries/joomla/database/table/content.php,393,2,1,1
libraries/joomla/database/table/extension.php,227,20,10,10
libraries/joomla/database/table/user.php,419,39,33,6
libraries/joomla/database/table/usergroup.php,519,88,17,71
libraries/joomla/database/tablenested.php,506,99,6,93
/joomla/document/html/renderer/module.php,236,40,39,1
libraries/joomla/environment/browser.php,1153,8,4,4
libraries/joomla/environment/request.php,447,2,1,1
libraries/joomla/error/error.php,451,8,4,4
libraries/joomla/filesystem/archive/zip.php,257,6,3,3
libraries/joomla/filesystem/folder.php,567,8,4,4
libraries/joomla/filesystem/path.php,348,2,1,1
libraries/joomla/filter/output.php,549,8,4,4
libraries/joomla/form/field.php,393,8,4,4
libraries/joomla/form/fields/media.php,1204,4,2,2
libraries/joomla/form/fields/password.php,535,88,71,17
libraries/joomla/form/form.php,539,99,93,6
libraries/joomla/form/rules/email.php,539,1,1,0
libraries/joomla/form/rules/tel.php,269,3,2,1
libraries/joomla/form/rules/url.php,778,45,36,9
libraries/joomla/html/html.php,119,2,1,1
libraries/joomla/html/html/behavior.php,792,10,10,0
libraries/joomla/html/html/jgrid.php,1175,36,33,3
libraries/joomla/html/html/rules.php,697,30,26,4
libraries/joomla/html/html/string.php,274,26,15,11
libraries/joomla/html/html/tabs.php,780,16,12,4
/joomla/html/parameter/element/menuitem.php,447,4,2,2
libraries/joomla/image/image.php,310,28,15,13
libraries/joomla/installer/adapters/component.php,308,28,13,15
libraries/joomla/installer/adapters/file.php,49,2,1,1
libraries/joomla/installer/adapters/language.php,285,2,1,1
libraries/joomla/installer/adapters/library.php,369,14,13,1
libraries/joomla/installer/adapters/module.php,539,45,25,20
libraries/joomla/installer/adapters/package.php,424,14,11,3
libraries/joomla/installer/adapters/plugin.php,703,3,2,1
libraries/joomla/installer/adapters/template.php,424,4,2,2
libraries/joomla/installer/extension.php,274,4,2,2
libraries/joomla/installer/installer.php,397,6,6,0
libraries/joomla/language/language.php,72,2,1,1
libraries/joomla/log/loggers/database.php,389,2,1,1
libraries/joomla/log/loggers/formattedtext.php,285,2,1,1
libraries/joomla/mail/helper.php,595,19,15,4
libraries/joomla/mail/mail.php,428,4,2,2
libraries/joomla/plugin/plugin.php,424,26,16,10
libraries/joomla/session/session.php,99,24,23,1
libraries/joomla/string/string.php,206,10,5,5
libraries/joomla/updater/adapters/collection.php,155,6,3,3
libraries/joomla/updater/updater.php,198,4,2,2
libraries/joomla/user/user.php,394,2,1,1
libraries/joomla/utilities/arrayhelper.php,318,5,5,0
libraries/joomla/utilities/simplecrypt.php,318,4,2,2
libraries/phpmailer/phpmailer.php,136,2,1,1
libraries/phpmailer/smtp.php,166,49,42,7
libraries/phputf8/native/core.php,153,25,19,6
libraries/phputf8/ord.php,124,92,72,20
libraries/phputf8/utils/bad.php,388,7,7,0
libraries/phputf8/utils/position.php,65,8,8,0
libraries/phputf8/utils/unicode.php,780,16,7,9
libraries/phputf8/utils/validation.php,153,7,4,3
plugins/content/loadmodule/loadmodule.php,85,9,5,4
plugins/content/pagebreak/pagebreak.php,166,6,3,3
plugins/editors/codemirror/codemirror.php,810,84,34,50
plugins/editors/tinymce/tinymce.php,266,15,6,9
plugins/finder/contacts/contacts.php,303,24,12,12
plugins/search/content/content.php,185,8,4,4
plugins/system/debug/debug.php,378,74,39,35
plugins/system/languagefilter/languagefilter.php,1262,155,77,78
plugins/system/remember/remember.php,187,30,16,14
plugins/user/profile/profile.php,103,16,15,1
tests/system/SeleniumJoomlaTestCase.php,674,592,231,361
tests/system/suite/acl/acl0001Test.php,75,269,46,223
tests/system/suite/articles/featured0001Test.php,103,4,2,2
tests/system/suite/cache/cache0001Test.php,169,2,1,1
/unit/suite/libraries/joomla/JFactoryTest.php,136,6,5,1
/joomla/application/JApplicationTest.php,133,5,4,1
/libraries/joomla/application/JMenuTest.php,143,22,18,4
/libraries/joomla/application/JRouterTest.php,133,6,1,5
/application/component/JControllerTest.php,130,5,1,4
/joomla/application/component/JViewTest.php,129,22,4,18
/suite/libraries/joomla/base/JObjectTest.php,136,6,5,1
/suite/libraries/joomla/cache/JCacheTest.php,133,5,4,1
/suite/libraries/joomla/client/JFTPTest.php,143,22,18,4
/suite/libraries/joomla/client/JLDAPTest.php,891,14,11,3
/joomla/database/JDatabaseQueryTest.php,140,11,5,6
/libraries/joomla/database/JDatabaseTest.php,67,17,10,7
/joomla/database/JTableNestedTest.php,417,3,1,2
/libraries/joomla/database/JTableTest.php,219,160,96,64
/database/database/JDatabaseMySQLTest.php,137,3,2,1
/database/database/JDatabaseMySQLiTest.php,140,3,2,1
/libraries/joomla/document/JDocumentTest.php,409,2,2,0
/joomla/document/html/JDocumentHTMLTest.php,145,16,15,1
/libraries/joomla/environment/JBrowserTest.php,103,2,1,1
/libraries/joomla/environment/JRequestTest.php,688,9,8,1
/libraries/joomla/environment/JURITest.php,378,6,3,3
/suite/libraries/joomla/error/JErrorTest.php,715,8,4,4
/libraries/joomla/filesystem/JFileTest.php,329,3,1,2
/libraries/joomla/filesystem/JStreamTest.php,715,10,5,5
/joomla/filesystem/archive/JArchiveZipTest.php,572,2,2,0
/libraries/joomla/form/JFormFieldTest.php,480,3,2,1
/suite/libraries/joomla/form/JFormTest.php,295,9,3,6
/joomla/form/fields/JFormFieldCalendarTest.php,237,2,1,1
/suite/libraries/joomla/form/inspectors.php,96,122,72,50
/suite/libraries/joomla/html/JHtmlTest.php,137,4,2,2
/libraries/joomla/html/JParameterTest.php,272,2,1,1
/joomla/html/html/JHtmlBehaviorTest.php,316,12,1,11
/libraries/joomla/installer/JInstallerTest.php,162,17,9,8
/libraries/joomla/language/JLanguageTest.php,662,2,1,1
/suite/libraries/joomla/mail/JMailTest.php,205,9,7,2
/libraries/joomla/registry/JRegistryTest.php,201,7,7,0
/libraries/joomla/user/JUserHelperTest.php,201,7,7,0
/suite/libraries/joomla/user/JUserTest.php,417,27,22,5
/joomla/utilities/JArrayHelperTest.php,201,2,1,1
/libraries/joomla/utilities/JBufferTest.php,201,2,1,1
/libraries/joomla/utilities/JDateTest.php,417,2,1,1
/joomla/utilities/JSimpleXMLElementTest.php,271,2,1,1
/libraries/joomla/utilities/JStringTest.php,612,4,4,0
/libraries/joomla/utilities/JUtilityTest.php,65,5,5,0
libraries/joomla/filesystem/file.php,59,3,2,1
libraries/joomla/plugin/helper.php,96,1,1,0
libraries/joomla/installer/helper.php,51,1,1,0
libraries/joomla/updater/adapters/extension.php,33,3,2,1
plugins/authentication/ldap/ldap.php,412,5,2,3
plugins/content/emailcloak/emailcloak.php,688,8,4,4
plugins/user/contactcreator/contactcreator.php,688,2,1,1
libraries/joomla/client/ftp.php,327,56,41,15
libraries/joomla/updater/update.php,363,8,4,4
/models/fields/categoryparent.php,383,14,9,5
/helpers/indexer/driver/postgresql.php,380,14,5,9
/helpers/indexer/stemmer/snowball.php,295,2,1,1
administrator/templates/isis/html/pagination.php,271,2,1,1
bin/keychain.php,545,348,139,209
build/libraries/less/lessc.php,157,14,10,4
/Sniffs/Commenting/SingleCommentSniff.php,442,4,4,0
installation/controller.php,667,9,8,1
installation/includes/application.php,231,45,43,2
installation/models/fields/prefix.php,545,61,32,29
installation/models/languages.php,157,3,1,2
libraries/cms/captcha/captcha.php,443,3,2,1
libraries/cms/editor/editor.php,231,1,0,1
libraries/cms/feed/entry.php,545,36,19,17
libraries/cms/feed/feed.php,157,1,0,1
libraries/cms/form/field/editor.php,545,2,1,1
libraries/cms/form/field/media.php,532,780,371,409
libraries/cms/help/help.php,206,99,88,11
libraries/cms/html/bootstrap.php,147,9,8,1
libraries/cms/html/category.php,607,2,1,1
libraries/cms/html/dropdown.php,680,84,50,34
libraries/cms/html/icons.php,214,70,32,38
libraries/cms/pathway/site.php,408,9,0,9
libraries/cms/router/site.php,895,22,12,10
libraries/cms/schema/changeitem/mysql.php,172,13,8,5
libraries/cms/schema/changeitem/postgresql.php,768,45,25,20
libraries/cms/schema/changeitem/sqlsrv.php,344,23,21,2
libraries/cms/toolbar/button/popup.php,419,14,11,3
libraries/cms/toolbar/toolbar.php,535,9,7,2
libraries/joomla/application/daemon.php,211,8,8,0
libraries/joomla/application/route.php,103,6,3,3
libraries/joomla/application/web/client.php,184,12,6,6
libraries/joomla/application/web/router/base.php,535,33,19,14
libraries/joomla/archive/archive.php,300,17,8,9
libraries/joomla/archive/bzip2.php,211,6,3,3
libraries/joomla/archive/gzip.php,768,50,25,25
libraries/joomla/archive/tar.php,147,2,1,1
libraries/joomla/archive/zip.php,214,2,1,1
libraries/joomla/cache/controller/callback.php,271,2,1,1
libraries/joomla/cache/controller/view.php,1262,2,1,1
libraries/joomla/client/ldap.php,895,2,1,1
libraries/joomla/data/set.php,327,2,1,1
libraries/joomla/database/driver.php,544,18,15,3
libraries/joomla/database/driver/mysqli.php,539,6,6,0
libraries/joomla/database/driver/oracle.php,97,2,1,1
libraries/joomla/database/driver/pdo.php,378,36,18,18
libraries/joomla/database/driver/postgresql.php,419,2,1,1
libraries/joomla/database/driver/sqlsrv.php,395,2,1,1
libraries/joomla/database/importer/mysqli.php,345,3,1,2
libraries/joomla/database/importer/postgresql.php,699,5,3,2
libraries/joomla/database/query/postgresql.php,727,24,12,12
libraries/joomla/date/date.php,238,2,1,1
libraries/joomla/document/feed/renderer/atom.php,688,2,1,1
libraries/joomla/document/feed/renderer/rss.php,392,95,84,11
libraries/joomla/document/html/html.php,128,2,1,1
libraries/joomla/document/html/renderer/head.php,536,4,2,2
libraries/joomla/event/dispatcher.php,404,26,19,7
libraries/joomla/factory.php,80,9,8,1
libraries/joomla/filesystem/helper.php,239,6,6,0
libraries/joomla/filesystem/patcher.php,128,4,3,1
libraries/joomla/filesystem/stream.php,277,7,6,1
libraries/joomla/filter/input.php,355,4,2,2
libraries/joomla/form/fields/calendar.php,117,85,44,41
libraries/joomla/form/fields/checkboxes.php,125,14,14,0
libraries/joomla/form/fields/groupedlist.php,96,27,15,12
libraries/joomla/form/fields/list.php,54,25,17,8
libraries/joomla/form/fields/rules.php,102,32,22,10
libraries/joomla/form/fields/timezone.php,152,62,32,30
libraries/joomla/form/helper.php,110,47,29,18
libraries/joomla/github/github.php,560,133,72,61
libraries/joomla/github/issues.php,591,16,9,7
libraries/joomla/google/data/adsense.php,128,42,30,12
libraries/joomla/google/data/calendar.php,92,86,60,26
libraries/joomla/google/data/picasa/album.php,246,79,54,25
libraries/joomla/google/data/plus/comments.php,155,21,18,3
libraries/joomla/google/google.php,107,1,1,0
libraries/joomla/html/behavior.php,169,2,1,1
libraries/joomla/html/date.php,407,5,4,1
libraries/joomla/html/jgrid.php,205,2,1,1
libraries/joomla/html/rules.php,604,17,13,4
libraries/joomla/html/select.php,900,35,24,11
libraries/joomla/html/sliders.php,635,209,144,65
libraries/joomla/html/string.php,681,11,6,5
libraries/joomla/html/tel.php,202,42,9,33
libraries/joomla/http/transport/curl.php,1173,8,4,4
libraries/joomla/http/transport/socket.php,377,24,23,1
libraries/joomla/http/transport/stream.php,1111,34,26,8
libraries/joomla/input/cli.php,399,6,6,0
libraries/joomla/language/stemmer/porteren.php,290,21,8,13
libraries/joomla/language/text.php,66,2,1,1
libraries/joomla/language/transliterate.php,66,2,1,1
libraries/joomla/log/logger/formattedtext.php,78,2,1,1
libraries/joomla/oauth2/client.php,69,2,1,1
libraries/joomla/object/object.php,356,8,4,4
libraries/joomla/pagination/pagination.php,96,4,2,2
libraries/joomla/registry/format/ini.php,430,2,1,1
libraries/joomla/registry/registry.php,1126,17,17,0
libraries/joomla/table/language.php,209,40,23,17
libraries/joomla/table/nested.php,104,4,3,1
libraries/joomla/table/table.php,104,4,3,1
libraries/joomla/table/user.php,309,3,3,0
libraries/joomla/table/usergroup.php,224,4,2,2
libraries/joomla/uri/uri.php,492,5,5,0
libraries/joomla/user/authentication.php,262,11,9,2
libraries/legacy/application/application.php,217,10,8,2
libraries/legacy/base/observable.php,478,14,14,0
libraries/legacy/categories/categories.php,582,27,18,9
libraries/legacy/component/helper.php,361,8,8,0
libraries/legacy/controller/admin.php,1173,13,8,5
libraries/legacy/controller/form.php,644,2,2,0
libraries/legacy/controller/legacy.php,344,20,20,0
libraries/legacy/error/error.php,605,6,6,0
libraries/legacy/exception/exception.php,130,6,6,0
libraries/legacy/form/field/componentlayout.php,446,8,6,2
libraries/legacy/form/field/modulelayout.php,140,46,43,3
libraries/legacy/html/menu.php,399,11,11,0
libraries/legacy/model/admin.php,1262,4,2,2
libraries/legacy/model/legacy.php,415,12,10,2
libraries/legacy/model/list.php,705,218,118,100
libraries/legacy/module/helper.php,401,6,6,0
libraries/legacy/request/request.php,290,49,24,25
libraries/legacy/table/content.php,128,2,1,1
libraries/legacy/table/menu.php,597,3,2,1
libraries/legacy/view/legacy.php,322,40,40,0
libraries/simplepie/simplepie.php,1146,2,1,1
plugins/authentication/gmail/gmail.php,1182,2,1,1
plugins/content/geshi/geshi/geshi.php,438,2,1,1
plugins/content/pagenavigation/pagenavigation.php,373,2,1,1
plugins/editors/none/none.php,376,2,1,1
plugins/search/categories/categories.php,424,27,20,7
plugins/search/contacts/contacts.php,85,2,1,1
plugins/search/newsfeeds/newsfeeds.php,445,9,8,1
plugins/search/weblinks/weblinks.php,67,18,17,1
templates/protostar/html/pagination.php,205,2,1,1
tests/plugins/editors/example/example.php,318,15,7,8
tests/plugins/search/example/example.php,424,4,2,2
tests/system/suite/acl/acl0004Test.php,153,16,4,12
tests/system/suite/acl/acl0005Test.php,420,16,12,4
tests/system/suite/acl/acl0006Test.php,383,10,8,2
tests/system/suite/language/language0001Test.php,160,4,2,2
tests/system/suite/menus/menu0001Test.php,85,2,1,1
/Pages/System/InstallationPage.php,133,10,10,0
tests/unit/core/case/case.php,914,25,21,4
tests/unit/core/case/database.php,389,53,34,19
tests/unit/core/case/database/mysql.php,599,4,3,1
tests/unit/core/case/database/mysqli.php,376,10,5,5
tests/unit/core/case/database/oracle.php,427,3,3,0
tests/unit/core/case/database/postgresql.php,389,5,4,1
/suites/libraries/feed/JFeedFactoryTest.php,420,3,0,3
/suites/libraries/feed/JFeedParserTest.php,734,4,2,2
tests/unit/suites/libraries/feed/JFeedTest.php,159,1,0,1
/libraries/feed/parser/JFeedParserAtomTest.php,734,2,1,1
/libraries/feed/parser/JFeedParserRssTest.php,159,2,1,1
/suites/libraries/html/JHtmlBootstrapTest.php,167,2,1,1
/suites/libraries/html/JHtmlDropdownTest.php,446,3,2,1
/suites/libraries/toolbar/JToolbarTest.php,253,7,4,3
libraries/cms/helper/tags.php,253,4,2,2
libraries/cms/table/corecontent.php,435,6,3,3
/webdriver/Pages/System/AdminEditPage.php,77,17,1,16
libraries/joomla/string/punycode.php,469,2,1,1
libraries/cms/installer/adapter.php,162,4,4,0
libraries/cms/installer/adapter/component.php,255,3,3,0
libraries/cms/installer/adapter/library.php,166,1,1,0
libraries/cms/installer/adapter/module.php,601,2,0,2
libraries/cms/installer/adapter/package.php,356,1,1,0
libraries/cms/installer/installer.php,95,1,1,0
libraries/cms/installer/adapter/file.php,156,15,14,1
/unit/suites/libraries/joomla/uri/JURITest.php,39,3,3,0
libraries/cms/helper/media.php,1057,7,4,3
libraries/joomla/access/access.php,476,5,0,5
plugins/authentication/joomla/joomla.php,260,4,3,1
libraries/cms/html/html.php,580,2,2,0
/libraries/joomla/filter/JFilterInputTest.php,359,5,4,1
installation/model/database.php,55,1,1,0
installation/application/web.php,115,9,9,0
libraries/src/MVC/Controller/FormController.php,159,9,9,0
libraries/src/MVC/Model/ListModel.php,73,5,5,0
plugins/sampledata/blog/blog.php,217,9,8,1
libraries/src/Document/Document.php,124,11,9,2
libraries/src/Helper/TagsHelper.php,1186,2,1,1
libraries/joomla/form/fields/subform.php,469,34,17,17
libraries/src/Form/Form.php,1119,7,7,0
libraries/fof/utils/update/collection.php,195,4,2,2