modified_Smelly_Classes,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
phpBB/groupcp.php,831,13,7,6
phpBB/includes/bbcode.php,1394,54,33,21
phpBB/includes/emailer.php,992,139,76,63
phpBB/includes/functions.php,833,3,2,1
phpBB/includes/sessions.php,468,4,2,2
phpBB/upgrade.php,1394,2,1,1
phpBB/db/mssql.php,833,2,1,1
phpBB/db/oracle.php,981,779,358,421
phpBB/includes/auth.php,485,19,16,3
phpBB/includes/prune.php,235,355,183,172
phpBB/includes/smtp.php,827,89,39,50
phpBB/includes/template.php,485,19,5,14
phpBB/db/postgres7.php,106,26,11,15
phpBB/memberlist.php,981,10,5,5
phpBB/posting.php,106,3,2,1
phpBB/includes/db/dbal.php,397,2,1,1
phpBB/includes/db/oracle.php,127,10,4,6
phpBB/includes/session.php,397,4,2,2
phpBB/adm/index.php,486,1,1,0
phpBB/download/file.php,827,4,2,2
phpBB/includes/acp/auth.php,827,20,10,10
phpBB/includes/db/mysql.php,212,14,7,7
phpBB/includes/db/postgres.php,397,4,2,2
phpBB/includes/diff/diff.php,411,22,18,4
phpBB/includes/diff/engine.php,235,4,2,2
phpBB/includes/diff/renderer.php,841,10,4,6
phpBB/mcp.php,411,2,1,1
phpBB/feed.php,248,2,1,1
phpBB/includes/cache.php,411,6,3,3
phpBB/includes/db/firebird.php,486,1,0,1
phpBB/includes/questionnaire/questionnaire.php,248,4,2,2
phpBB/install/index.php,407,66,30,36
phpBB/common.php,136,2,1,1
phpBB/includes/db/mssql.php,197,2,1,1
phpBB/includes/db/mssqlnative.php,1418,2,1,1
phpBB/includes/db/mysqli.php,1410,166,80,86
phpBB/includes/db/sqlite.php,199,6,3,3
tests/dbal/select.php,237,4,2,2
tests/template/template.php,1412,4,2,2
phpBB/includes/startup.php,201,3,2,1
phpBB/phpbb/auth/auth.php,495,23,19,4
phpBB/phpbb/auth/provider/apache.php,250,2,1,1
phpBB/phpbb/auth/provider/db.php,988,6,3,3
phpBB/phpbb/auth/provider/ldap.php,201,2,1,1
phpBB/phpbb/auth/provider/oauth/oauth.php,495,2,1,1
phpBB/phpbb/avatar/driver/gravatar.php,250,4,2,2
phpBB/phpbb/avatar/driver/local.php,237,2,1,1
phpBB/phpbb/avatar/driver/remote.php,848,23,22,1
phpBB/phpbb/avatar/driver/upload.php,1412,2,1,1
phpBB/phpbb/cache/driver/file.php,992,8,6,2
phpBB/phpbb/cache/driver/memory.php,495,8,4,4
phpBB/phpbb/cache/service.php,237,68,34,34
phpBB/phpbb/datetime.php,848,10,5,5
phpBB/phpbb/db/driver/driver.php,992,2,1,1
phpBB/phpbb/db/driver/factory.php,201,2,1,1
phpBB/phpbb/db/driver/mssql.php,128,2,1,1
phpBB/phpbb/db/driver/mssqlnative.php,848,10,5,5
phpBB/phpbb/db/driver/mysql.php,495,2,1,1
phpBB/phpbb/db/driver/mysqli.php,106,8,4,4
phpBB/phpbb/db/driver/oracle.php,212,22,17,5
phpBB/phpbb/db/driver/postgres.php,848,6,3,3
phpBB/phpbb/db/driver/sqlite.php,112,9,8,1
phpBB/phpbb/db/driver/sqlite3.php,850,5,3,2
phpBB/phpbb/db/migration/migration.php,406,4,2,2
phpBB/phpbb/db/migration/tool/module.php,212,4,2,2
phpBB/phpbb/db/migration/tool/permission.php,114,4,2,2
phpBB/phpbb/db/migrator.php,510,13,5,8
phpBB/phpbb/db/tools.php,407,38,18,20
phpBB/phpbb/extension/manager.php,305,60,30,30
phpBB/phpbb/feed/factory.php,510,2,1,1
phpBB/phpbb/groupposition/teampage.php,216,7,6,1
phpBB/phpbb/log/log.php,213,3,2,1
phpBB/phpbb/log/null.php,507,4,2,2
phpBB/phpbb/notification/manager.php,216,2,1,1
phpBB/phpbb/notification/type/base.php,998,8,4,4
phpBB/phpbb/pagination.php,407,2,1,1
phpBB/phpbb/passwords/manager.php,516,9,7,2
phpBB/phpbb/plupload/plupload.php,517,11,6,5
phpBB/phpbb/profilefields/manager.php,982,26,3,23
phpBB/phpbb/search/base.php,839,24,2,22
phpBB/phpbb/session.php,518,2,2,0
phpBB/phpbb/template/asset.php,249,2,2,0
phpBB/phpbb/template/context.php,408,3,3,0
phpBB/phpbb/template/twig/environment.php,213,4,2,2
phpBB/phpbb/template/twig/extension.php,409,56,30,26
phpBB/phpbb/template/twig/lexer.php,519,4,3,1
phpBB/phpbb/tree/nestedset.php,236,4,2,2
phpBB/phpbb/user.php,839,2,1,1
tests/mock/request.php,108,7,0,7
phpBB/phpbb/captcha/plugins/recaptcha.php,116,22,0,22
phpBB/phpbb/controller/helper.php,412,36,18,18
phpBB/phpbb/request/request.php,536,24,24,0
phpBB/phpbb/template/twig/twig.php,106,2,1,1
phpBB/phpbb/cache/driver/base.php,536,4,2,2
phpBB/phpbb/captcha/plugins/qa.php,982,2,1,1
phpBB/install/convert/controller/convertor.php,412,22,11,11
phpBB/install/convert/convertor.php,412,12,6,6
phpBB/install/startup.php,108,2,2,0
phpBB/phpbb/attachment/upload.php,412,4,2,2
phpBB/phpbb/console/command/command.php,536,9,6,3
phpBB/phpbb/console/command/db/migrate.php,249,8,4,4
phpBB/phpbb/console/command/user/activate.php,982,2,1,1
phpBB/phpbb/controller/resolver.php,986,23,14,9
phpBB/phpbb/db/migration/data/v310/timezone.php,246,240,122,118
phpBB/phpbb/db/tools/mssql.php,130,153,68,85
phpBB/phpbb/db/tools/tools.php,249,2,1,1
phpBB/phpbb/feed/controller/feed.php,236,2,1,1
phpBB/phpbb/feed/topic.php,129,2,1,1
phpBB/phpbb/finder.php,262,2,1,1
phpBB/phpbb/install/console/command/install/install.php,250,9,5,4
phpBB/phpbb/install/console/command/update/update.php,1027,18,9,9
phpBB/phpbb/install/helper/database.php,967,2,1,1
phpBB/phpbb/install/installer.php,1041,29,18,11
phpBB/phpbb/report/controller/report.php,200,117,96,21
phpBB/phpbb/routing/helper.php,1468,2,1,1
phpBB/phpbb/routing/router.php,232,2,1,1
phpBB/phpbb/textformatter/s9e/factory.php,1457,569,404,165
tests/console/user/base.php,1040,42,17,25
phpBB/phpbb/captcha/gd.php,1471,11,8,3
phpBB/phpbb/files/filespec.php,404,15,8,7
phpBB/phpbb/filesystem/filesystem.php,404,2,1,1
phpBB/phpbb/language/language.php,302,10,5,5
phpBB/phpbb/search/sphinx/config.php,310,18,15,3
tests/notification/base.php,1037,17,9,8
phpBB/phpbb/db/migration/data/v310/dev.php,971,12,9,3
phpBB/phpbb/db/tools/postgres.php,1469,2,1,1
phpBB/phpbb/textformatter/s9e/parser.php,981,21,14,7
phpBB/phpbb/group/helper.php,299,20,16,4