files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
libraries/Config.class.php,1463,8,6,2
libraries/File.class.php,501,2,1,1
libraries/dbi/mysql.dbi.lib.php,216,4,3,1
libraries/dbi/mysqli.dbi.lib.php,666,2,1,1
libraries/Index.class.php,666,4,2,2
libraries/Message.class.php,413,28,15,13
libraries/common.lib.php,895,5,1,4
libraries/sqlparser.lib.php,270,65,0,65
navigation.php,284,2,1,1
setup/lib/index.lib.php,1562,1,1,0
sql.php,470,2,1,1
libraries/Advisor.class.php,660,29,1,28
libraries/Header.class.php,671,9,7,2
export.php,1501,6,5,1
libraries/Table.class.php,668,2,1,1
libraries/sql.lib.php,1502,5,3,2
libraries/DatabaseInterface.class.php,296,1604,802,802
libraries/navigation/Navigation.class.php,243,786,393,393
/plugins/auth/AuthenticationCookie.class.php,455,5,3,2
libraries/plugins/export/ExportMediawiki.class.php,1509,21,18,3
libraries/plugins/export/ExportSql.class.php,1509,4,2,2
libraries/structure.lib.php,275,134,83,51
libraries/navigation/NavigationTree.class.php,275,2,1,1
libraries/plugins/import/ImportCsv.class.php,424,36,26,10
libraries/plugins/import/ImportOds.class.php,636,13,7,6
libraries/Util.class.php,1516,17,17,0
libraries/core.lib.php,1509,17,0,17
libraries/plugins/auth/AuthenticationCookie.class.php,1516,17,17,0
libraries/DisplayResults.class.php,253,5,3,2
libraries/operations.lib.php,315,9,5,4
libraries/relation.lib.php,660,6,3,3
libraries/Menu.class.php,424,201,101,100
libraries/Tracker.class.php,315,4,3,1
libraries/bookmark.lib.php,455,41,21,20
libraries/dbi/DBIDummy.class.php,677,7,6,1
libraries/normalization.lib.php,1538,31,31,0
libraries/plugins/import/ImportSql.class.php,434,37,3,34
libraries/tracking.lib.php,1537,10,5,5
libraries/navigation/Nodes/Node.class.php,257,9,9,0
/plugins/schema/dia/TableStatsDia.class.php,1519,23,2,21
libraries/Console.class.php,1522,15,9,6
libraries/engines/innodb.lib.php,897,1,0,1
libraries/import.lib.php,1562,4,2,2
libraries/phpseclib/Crypt/Base.php,3958,3,2,1
libraries/phpseclib/Crypt/Random.php,672,12,7,5
libraries/phpseclib/Crypt/Rijndael.php,1521,14,7,7
libraries/Scripts.class.php,437,4,2,2
themes/original/sprites.lib.php,275,2,1,1
themes/pmahomme/sprites.lib.php,424,36,26,10
libraries/Footer.class.php,636,13,7,6
libraries/VersionInformation.php,1516,17,17,0
libraries/config/FormDisplay.tpl.php,1509,17,0,17
/DatabaseStructureController.class.php,1516,17,17,0
/controllers/TableStructureController.class.php,253,5,3,2
libraries/export.lib.php,315,9,5,4
/src/Components/ParameterDefinition.php,660,6,3,3
/src/Components/PartitionDefinition.php,424,201,101,100
/TableGisVisualizationController.class.php,315,4,3,1
libraries/plugins/export/ExportXml.class.php,455,41,21,20
libraries/DBQbe.class.php,677,7,6,1
libraries/DbSearch.class.php,1538,31,31,0
libraries/Response.class.php,434,37,3,34
libraries/SavedSearches.class.php,1537,10,5,5
/plugins/auth/AuthenticationHttp.class.php,257,9,9,0
libraries/plugins/auth/swekey/swekey.auth.lib.php,1519,23,2,21
libraries/plugins/export/ExportPdf.class.php,1522,15,9,6
libraries/plugins/import/ImportShp.class.php,897,1,0,1
libraries/plugins/import/ImportXml.class.php,1562,4,2,2
libraries/Config.php,3958,3,2,1
libraries/DisplayResults.php,672,12,7,5
libraries/Index.php,1521,14,7,7
libraries/Response.php,437,4,2,2
libraries/Table.php,215,1,0,1
libraries/Util.php,1525,4,4,0
/database/DatabaseStructureController.php,1562,4,2,2
/controllers/table/TableSearchController.php,636,2,1,1
libraries/plugins/auth/AuthenticationHttp.php,636,2,1,1
libraries/plugins/export/ExportSql.php,1529,2,1,1
test/classes/plugin/export/ExportSqlTest.php,1529,5,3,2
libraries/DatabaseInterface.php,672,4,3,1
libraries/ErrorHandler.php,679,23,15,8
libraries/LanguageManager.php,1530,9,5,4
libraries/Scripts.php,284,2,1,1
libraries/cleanup.lib.php,1530,2,1,1
libraries/dbi/DBIMysqli.php,222,25,22,3
libraries/engines/Pbxt.php,225,5,5,0
libraries/navigation/NavigationHeader.php,906,13,11,2
libraries/plugins/auth/AuthenticationCookie.php,222,5,0,5
libraries/plugins/auth/AuthenticationSignon.php,1568,9,8,1
libraries/plugins/export/ExportLatex.php,1530,4,3,1
test/classes/MessageTest.php,491,22,3,19
test/classes/config/FormDisplayTest.php,1530,2,1,1
test/classes/engines/PbxtTest.php,672,19,3,16
/plugin/auth/AuthenticationCookieTest.php,1536,52,33,19
/classes/plugin/auth/AuthenticationHttpTest.php,225,22,15,7
/plugin/auth/AuthenticationSignonTest.php,281,66,44,22
libraries/DbQbe.php,335,57,38,19
libraries/Header.php,1582,20,19,1
libraries/SavedSearches.php,506,21,21,0
libraries/ServerStatusData.php,693,5,4,1
libraries/Tracker.php,1563,4,2,2
libraries/config/FormDisplay.php,1565,4,3,1
libraries/config/Validator.php,1582,2,1,1
libraries/dbi/DBIMysql.php,216,16,4,12
libraries/gis/GISVisualization.php,672,20,10,10
libraries/navigation/NavigationTree.php,506,4,2,2
libraries/plugins/export/ExportJson.php,264,19,12,7
/abs/DateFormatTransformationsPlugin.php,342,8,7,1
libraries/transformations.lib.php,662,2,1,1
test/classes/ConfigTest.php,1583,4,3,1
/transformations/TransformationPluginsTest.php,1589,11,9,2
libraries/DbSearch.php,1567,7,5,2
libraries/File.php,695,4,3,1
libraries/Footer.php,646,6,4,2
libraries/config/ServerConfigChecks.php,646,3,2,1
/server/ServerDatabasesController.php,445,7,7,0
libraries/engines/Innodb.php,216,2,1,1
libraries/gis/GISGeometry.php,1569,10,6,4
libraries/navigation/nodes/Node.php,1572,18,11,7
libraries/plugins/export/ExportMediawiki.php,702,7,7,0
libraries/plugins/export/ExportPhparray.php,908,1,1,0
libraries/plugins/export/ExportXml.php,646,12,6,6
libraries/plugins/import/ImportShp.php,907,1,0,1
libraries/tcpdf/tcpdf.php,912,5,5,0
test/classes/AdvisorTest.php,663,3,2,1
test/classes/DisplayResultsTest.php,913,1,1,0
/controllers/ServerDatabasesControllerTest.php,1581,18,18,0
test/classes/plugin/export/ExportXmlTest.php,507,10,7,3
test/selenium/TestBase.php,1581,8,4,4
libraries/Advisor.php,1584,5,5,0
libraries/Menu.php,625,2,1,1
libraries/Message.php,442,7,0,7
libraries/config/ConfigFile.php,264,2,1,1
/server/ServerVariablesController.php,1587,11,11,0
/controllers/table/TableStructureController.php,1592,4,4,0
libraries/dbi/DBIDummy.php,1591,13,11,2
libraries/navigation/Navigation.php,264,2,1,1
libraries/navigation/nodes/NodeTable.php,627,2,2,0
libraries/plugins/auth/AuthenticationConfig.php,627,18,9,9
libraries/plugins/import/ImportCsv.php,342,4,2,2
libraries/plugins/import/ImportLdi.php,1591,3,2,1
libraries/plugins/schema/pdf/Pdf.php,342,3,1,2
test/classes/TableTest.php,443,3,3,0
test/classes/TrackerTest.php,16,2,1,1
test/classes/config/ConfigFileTest.php,13,2,1,1
test/classes/navigation/NodeTest.php,1592,2,1,1
test/classes/plugin/export/ExportHtmlwordTest.php,1591,2,1,1
test/classes/plugin/export/ExportLatexTest.php,1545,71,0,71
test/classes/plugin/export/ExportOdsTest.php,330,71,71,0
test/classes/plugin/export/ExportOdtTest.php,1592,7,4,3
test/classes/plugin/export/ExportTexytextTest.php,289,2,2,0
libraries/config/PageSettings.php,343,2,2,0
libraries/plugins/schema/svg/SvgRelationSchema.php,292,6,6,0
test/classes/LanguageTest.php,346,5,5,0
test/classes/gis/GISGeometrycollectionTest.php,643,27,23,4
test/classes/gis/GISLinestringTest.php,1548,2,1,1
test/classes/gis/GISMultilinestringTest.php,1605,31,19,12
test/classes/gis/GISMultipointTest.php,714,2,1,1
test/classes/gis/GISMultipolygonTest.php,328,15,6,9
test/classes/gis/GISPointTest.php,299,24,21,3
test/classes/gis/GISPolygonTest.php,353,17,14,3
libraries/Charsets.php,647,10,8,2
/controllers/table/TableRelationController.php,1728,5,1,4
test/classes/EncodingTest.php,299,4,1,3
test/classes/UtilTest.php,353,8,7,1
libraries/TypesMySQL.php,433,4,0,4
libraries/classes/Config.php,357,6,3,3
libraries/classes/Database/Designer.php,1700,7,7,0
libraries/classes/Util.php,1704,5,5,0
libraries/classes/ZipExtension.php,564,2,2,0
libraries/classes/CentralColumns.php,739,2,1,1
libraries/classes/Config/FormDisplayTemplate.php,564,5,2,3
/Controllers/Table/TableChartController.php,665,6,1,5
libraries/classes/DatabaseInterface.php,435,2,1,1
libraries/classes/Display/Results.php,1713,14,9,5
libraries/classes/Import.php,563,2,1,1
libraries/classes/Index.php,1712,9,8,1
libraries/classes/InsertEdit.php,1712,2,1,1
libraries/classes/LanguageManager.php,1716,22,12,10
libraries/classes/Plugins/Export/ExportSql.php,590,11,10,1
libraries/classes/Plugins/Export/ExportXml.php,331,2,1,1
libraries/classes/Sql.php,592,2,1,1
libraries/classes/Table.php,619,43,40,3
test/classes/DatabaseInterfaceTest.php,1746,52,26,26
libraries/classes/BrowseForeigners.php,1718,9,5,4
libraries/classes/CheckUserPrivileges.php,277,11,5,6
/Controllers/Table/TableIndexesController.php,1718,10,5,5
libraries/classes/Core.php,619,2,1,1
libraries/classes/CreateAddField.php,433,4,2,2
libraries/classes/Database/Designer/Common.php,270,19,0,19
libraries/classes/Database/Qbe.php,1718,2,1,1
libraries/classes/Database/Search.php,444,5,2,3
libraries/classes/Display/Export.php,260,37,0,37
libraries/classes/ErrorReport.php,1746,4,2,2
libraries/classes/Export.php,331,24,12,12
libraries/classes/Footer.php,1718,2,1,1
libraries/classes/Menu.php,1718,2,1,1
libraries/classes/Navigation/Navigation.php,1718,6,3,3
libraries/classes/Navigation/NavigationTree.php,531,17,8,9
libraries/classes/Normalization.php,212,10,10,0
libraries/classes/Operations.php,744,9,7,2
libraries/classes/Relation.php,442,5,4,1
libraries/classes/ReplicationGui.php,212,2,1,1
libraries/classes/Rte/Events.php,216,66,33,33
libraries/classes/Rte/Routines.php,547,5,4,1
libraries/classes/Rte/Triggers.php,550,5,4,1
libraries/classes/Server/Privileges.php,846,38,20,18
libraries/classes/Server/Status/Data.php,138,47,28,19
libraries/classes/Server/Status/Monitor.php,854,2,1,1
libraries/classes/Server/Status/Processes.php,2161,349,189,160
libraries/classes/Server/Status/Variables.php,896,6,3,3
libraries/classes/Server/UserGroups.php,854,12,6,6
libraries/classes/Tracking.php,866,70,44,26
libraries/classes/Transformations.php,903,3,2,1
libraries/classes/UserPassword.php,645,6,3,3
test/classes/BrowseForeignersTest.php,866,2,1,1
test/classes/CentralColumnsTest.php,407,7,5,2
test/classes/CheckUserPrivilegesTest.php,529,25,10,15
/Server/ServerBinlogControllerTest.php,49,2,1,1
/Table/TableStructureControllerTest.php,1718,6,3,3
test/classes/InsertEditTest.php,896,4,2,2
test/classes/NormalizationTest.php,702,206,128,78
test/classes/OperationsTest.php,2286,15,15,0
test/classes/Rte/EventsTest.php,619,2,1,1
test/classes/Rte/RoutinesTest.php,366,2,1,1
test/classes/Server/PrivilegesTest.php,2310,2,1,1
test/classes/Server/Status/VariablesTest.php,317,52,42,10
test/classes/TrackingTest.php,461,1,1,0
test/selenium/QueryByExampleTest.php,687,16,7,9
libraries/classes/Dbi/DbiMysql.php,444,3,2,1
libraries/classes/Dbi/DbiMysqli.php,461,2,1,1
libraries/classes/Rte/RteList.php,661,2,1,1
libraries/classes/StorageEngine.php,591,702,585,117
test/classes/Plugins/Export/ExportSqlTest.php,696,828,690,138
libraries/classes/Charsets.php,370,9,7,2
libraries/classes/Config/Descriptions.php,373,3,3,0
libraries/classes/Config/FormDisplay.php,538,10,5,5
libraries/classes/Config/Validator.php,529,2,1,1
/Table/TableGisVisualizationController.php,242,23,1,22
libraries/classes/Display/ChangePassword.php,412,15,1,14
libraries/classes/ErrorHandler.php,2346,36,36,0
libraries/classes/Gis/GisGeometry.php,897,1,1,0
libraries/classes/Gis/GisVisualization.php,443,4,2,2
libraries/classes/Message.php,1715,2,1,1
libraries/classes/Navigation/NavigationHeader.php,702,18,18,0
libraries/classes/Navigation/Nodes/Node.php,649,3,2,1
/classes/Plugins/Auth/AuthenticationCookie.php,621,1,1,0
/classes/Plugins/Auth/AuthenticationSignon.php,705,4,4,0
libraries/classes/Plugins/Export/ExportJson.php,461,1,1,0
libraries/classes/Plugins/Export/ExportOds.php,673,6,3,3
libraries/classes/Plugins/Export/ExportOdt.php,869,11,7,4
libraries/classes/Plugins/Import/ImportXml.php,1724,17,17,0
libraries/classes/Types.php,1726,4,3,1
setup/lib/FormProcessing.php,157,29,29,0
test/classes/Config/FormDisplayTemplateTest.php,2348,1,1,0
/Plugins/Auth/AuthenticationCookieTest.php,653,2,1,1
/Plugins/Auth/AuthenticationSignonTest.php,2349,1,1,0
test/classes/Plugins/Export/ExportOdsTest.php,51,2,2,0
test/classes/Plugins/Export/ExportOdtTest.php,51,2,2,0
test/classes/TypesTest.php,705,2,1,1
libraries/classes/Advisor.php,657,6,5,1
libraries/classes/File.php,2351,8,6,2
libraries/classes/Plugins/AuthenticationPlugin.php,24287,4,2,2
/classes/Plugins/Export/ExportTexytext.php,658,1,1,0
libraries/classes/Session.php,869,5,4,1
libraries/classes/Url.php,2352,1,1,0
test/classes/ImportTest.php,673,2,1,1
test/classes/Navigation/Nodes/NodeTest.php,2382,44,44,0
test/classes/Plugins/Export/ExportCodegenTest.php,655,11,4,7
test/classes/Plugins/Export/ExportCsvTest.php,1747,2,1,1
test/classes/Plugins/Export/ExportExcelTest.php,1747,2,1,1
test/classes/Plugins/Export/ExportHtmlwordTest.php,19,4,3,1
test/classes/Plugins/Export/ExportLatexTest.php,366,8,7,1
/classes/Plugins/Export/ExportMediawikiTest.php,619,2,1,1
test/classes/Plugins/Export/ExportPdfTest.php,331,2,1,1
test/classes/Plugins/Export/ExportTexytextTest.php,868,2,0,2
test/classes/Plugins/Export/ExportXmlTest.php,916,1,1,0
/Plugins/Export/Helpers/TablePropertyTest.php,37,4,2,2